2018,1,14,3,1,340,207,133,68,70,34,41,56,22,20,17,15,4,36,14,71,29,153,188,247,72.6,13,19,40,14,1
2018,1,3,14,0,376,207,169,88,49,42,42,57,20,22,15,3,2,20,6,47,47,152,221,268,71.3,12,8,50,9,0
2018,1,5,1,1,391,214,177,92,69,39,32,48,19,12,14,14,1,29,10,60,39,156,246,294,75.2,16,19,52,14,1
2018,1,1,5,0,387,204,183,83,50,37,40,48,12,19,12,14,1,27,7,53,43,142,242,296,76.5,11,10,60,10,0
2018,1,15,2,1,422,242,180,135,48,25,27,57,21,25,16,8,3,27,14,59,35,133,300,325,77,5,13,54,11,1
2018,1,2,15,0,375,215,160,87,44,44,44,65,25,21,12,9,1,22,8,49,37,139,232,265,70.7,9,9,45,3,0
2018,1,13,6,1,439,260,179,112,63,26,45,51,23,17,16,13,1,30,12,62,38,146,294,333,75.9,5,18,70,10,1
2018,1,6,13,0,358,198,160,95,44,57,35,52,17,23,9,5,1,15,7,49,43,132,228,269,75.1,10,3,35,6,0
2018,1,8,12,1,403,295,108,59,98,42,54,87,22,24,7,10,3,20,4,67,40,208,167,206,51.1,7,10,77,0,1
2018,1,12,8,0,346,217,129,21,86,46,35,79,24,22,5,8,1,14,2,47,54,188,139,165,47.7,8,2,88,3,0
2018,1,10,4,1,402,225,177,86,64,29,33,75,20,30,15,8,3,26,8,60,41,166,233,290,72.1,6,11,84,8,1
2018,1,4,10,0,363,205,158,70,71,46,40,64,30,20,9,8,5,22,5,58,37,165,200,254,70,10,6,53,4,0
2018,1,9,18,1,437,246,191,119,62,43,38,60,15,23,20,9,4,33,16,69,39,141,287,340,77.8,8,22,41,14,1
2018,1,18,9,0,347,196,151,68,57,46,44,57,23,15,7,8,1,16,5,51,43,121,209,246,70.9,8,11,39,4,0
2018,1,11,7,1,358,185,173,52,72,51,44,58,26,17,13,14,2,29,6,64,20,155,204,262,73.2,7,10,45,9,0
2018,1,7,11,0,418,220,198,103,45,30,36,59,17,26,14,12,1,27,10,41,45,149,268,300,71.8,13,12,48,4,1
2018,1,17,16,1,339,226,113,85,64,66,38,60,20,28,13,7,1,21,7,60,32,138,193,255,75.2,11,9,37,3,0
2018,1,16,17,0,393,219,174,82,62,17,47,52,28,21,18,7,0,25,13,52,46,160,232,295,75.1,8,9,54,3,1
2018,2,1,14,1,449,261,188,106,48,48,39,60,28,14,18,9,1,28,13,64,35,192,257,344,76.6,16,10,44,3,1
2018,2,14,1,0,309,183,126,52,73,26,38,68,14,28,12,8,2,22,7,49,43,144,155,220,71.2,12,4,55,2,0
2018,2,12,15,1,364,222,142,100,65,51,30,56,23,16,13,16,1,30,9,66,31,150,219,255,70.1,13,17,40,4,1
2018,2,15,12,0,372,192,180,87,75,19,28,66,16,23,5,8,5,18,3,41,49,119,258,278,74.7,9,9,50,17,0
2018,2,3,8,1,387,231,156,86,67,19,37,64,26,24,9,10,3,22,4,67,33,160,227,267,69,9,8,56,11,0
2018,2,8,3,0,350,221,129,77,93,58,46,68,24,26,15,8,3,26,10,50,55,166,181,243,69.4,6,8,56,10,1
2018,2,4,9,1,407,211,196,85,72,48,37,67,28,20,12,7,0,19,6,53,34,155,251,299,73.5,11,5,45,6,0
2018,2,9,4,0,382,223,159,96,63,22,41,76,20,28,15,4,1,20,14,51,41,151,233,282,73.8,8,12,53,8,1
2018,2,2,11,1,339,190,149,59,83,39,45,45,24,15,10,13,1,24,9,52,37,146,184,223,65.8,3,8,59,2,0
2018,2,11,2,0,369,209,160,76,75,54,45,51,15,24,14,13,3,30,11,56,38,169,204,263,71.3,14,17,52,2,1
2018,2,6,5,1,399,241,158,105,65,42,32,63,23,22,16,9,1,26,11,56,28,151,253,299,74.9,9,12,57,8,1
2018,2,5,6,0,359,192,167,71,72,18,30,61,22,23,14,5,1,20,9,45,38,142,217,246,68.5,5,9,45,15,0
2018,2,18,17,1,353,219,134,115,42,13,33,45,19,18,9,12,4,25,8,54,35,110,237,272,77.1,14,19,61,5,0
2018,2,17,18,0,360,245,115,124,49,54,31,49,18,19,18,8,5,31,14,58,43,136,221,280,77.8,18,23,51,7,1
2018,2,16,13,1,380,217,163,65,71,51,52,69,17,20,10,10,1,21,6,52,35,175,194,233,61.3,7,8,62,2,0
2018,2,13,16,0,367,226,141,69,80,44,46,53,20,17,14,9,1,24,5,52,40,164,208,242,65.9,2,6,62,7,1
2018,2,7,10,1,372,213,159,102,51,35,41,44,27,19,18,5,4,27,12,43,38,131,244,286,76.9,11,13,44,5,0
2018,2,10,7,0,323,201,122,88,62,50,47,50,19,27,17,14,2,33,13,62,22,131,193,241,74.6,12,17,54,6,1
2018,3,3,4,1,336,208,128,84,53,36,37,59,23,28,11,10,0,21,5,55,34,133,195,243,72.3,10,7,43,6,0
2018,3,4,3,0,418,227,191,113,69,37,32,54,28,23,16,4,0,20,14,50,41,134,283,328,78.5,13,15,50,14,1
2018,3,13,2,1,384,235,149,111,47,22,33,60,20,27,14,12,1,27,11,55,28,137,245,289,75.3,5,16,48,8,1
2018,3,2,13,0,332,203,129,87,61,55,41,53,27,20,14,8,0,22,10,43,36,143,187,246,74.1,11,8,36,4,0
2018,3,11,12,1,399,231,168,94,59,52,37,58,25,23,18,13,2,33,14,66,27,161,242,297,74.4,11,15,46,2,1
2018,3,12,11,0,314,176,138,74,62,24,36,63,23,25,13,7,1,21,9,45,41,126,188,223,71,15,7,50,15,0
2018,3,8,6,1,324,220,104,95,59,29,29,72,22,21,10,8,0,18,6,46,39,135,185,223,68.8,8,11,34,2,0
